Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
L. Mitchell
SOU @ MAN | WFB
$841K  |  $94k ( $94k ), $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,, $94k ,81,59.7,,8,10,4,,10,4,4,4,14,,,8,-6,8,,12,,3,-2,,,,,
H. Olakau'atu
MAN v SOU | EDG
$593K  |  -$122k ( -$122k ), -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,, -$122k ,70,50.3,,8,,,,,4,,32,12,-6,,4,-2,,,18,,,,,,,,
R. Garrick
MAN v SOU | CTR, WFB
$541K  |  -$98k ( -$98k ), -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,, -$98k ,68,43.7,,8,,12,,,4,,19,4,-10,,4,-2,8,,21,,1,,,,,-1,
C. Murray
SOU @ MAN | MID
$745K  |  -$42k ( -$42k ), -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,, -$42k ,62,55.2,,,5,,,,,,36,4,-4,2,,,4,,16,,1,-2,,,,,
