Round,Player,Team,Age,POS1,POS2,Price,Priced at,PTS,MP,AVG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,,Total base,,Base exceeds price premium
1,X. Savage,CAN,,WFB,,379000,28.07,69,80,69,16,,,,,4,,6,14,-4,2,4,-2,8,,21,,2,-2,,,,,,,43,,14.93
1,H. Young,CAN,,EDG,,713000,52.81,65,80,65,,,,,,,,41,8,-6,,8,,4,,12,,,-2,,,,,,,63,,10.189999999999998
1,M. Timoko,CAN,,CTR,,510000,37.78,65,80,65,8,,,,5,4,2,18,6,-2,,8,,4,,13,,,,,,,-1,,,43,,5.219999999999999
1,Z. Hosking,CAN,,EDG,,582000,43.11,62,66,62,,,,,5,,2,44,2,,,,,4,,7,,,-2,,,,,,,53,,9.89
1,W. Egan,WAR,,HOK,,553000,40.96,57,80,57,,,,,,,,51,,-4,,,,4,,6,,,,,,,,,,53,,12.04
1,J. Fogarty,CAN,,HLF,,705000,52.22,55,80,55,,,10,,,,,27,2,-2,,,-8,4,,4,17,1,,,,,,,,51,,-1.2199999999999989
1,C. Horsburgh,CAN,,MID,,550000,40.74,55,59,55,,,,,,,,34,2,-6,,12,-2,4,,12,,,,,,,-1,,,52,,11.259999999999998
1,M. Smithies,CAN,,MID,,600000,44.44,54,57,54,,,,,,,,38,2,-2,,4,,,,12,,,,,,,,,,54,,9.560000000000002
1,J. Fisher-Harris,WAR,,MID,,600000,44.44,51,46,51,,,,,,,,36,10,-2,,,-2,,,11,,,-2,,,,,,,53,,8.560000000000002
1,T. Starling,CAN,,HOK,,450000,33.33,51,68,51,,,,,,4,,33,4,-6,,,,4,,12,,,,,,,,,,43,,9.670000000000002
1,S. Kris,CAN,,CTR,WFB,410000,30.37,50,80,50,16,,,,,4,,14,10,,,,-6,,,12,,,,,,,,,,30,,-0.370000000000001
1,M. Barnett,WAR,,MID,EDG,712000,52.74,49,51,49,,,,,,,,39,2,,,,,,,8,,,,,,,,,,49,,-3.740000000000002
1,S. Tamale,CAN,,CTR,WFB,300000,22.22,49,80,49,,,,,,8,,3,14,,2,,-2,4,,21,,1,-2,,,,,,,39,,16.78
1,J. Ford,WAR,,EDG,,606000,44.89,45,51,45,,,,,,,,35,2,-4,,4,-2,,,10,,,,,,,,,,45,,0.10999999999999943
1,C. Harris-Tavita,WAR,,HLF,,353000,26.15,42,80,42,,,,,5,,2,23,2,-8,,4,,,,5,9,,,,,,,,,37.5,,11.350000000000001
1,J. Tapine,CAN,,MID,,717000,53.11,41,45,41,,,,,,,,27,,-6,2,8,,4,,13,,,-2,-5,,,,,,44,,-9.11
1,J. Papalii,CAN,,MID,,501000,37.11,41,37,41,,,,,,,,25,2,,2,,-2,4,,11,,,,,,,-1,,,38,,0.8900000000000006
1,R. Tuivasa-Sheck,WAR,,CTR,WFB,510000,37.78,38,80,38,8,,,,,4,,3,6,-2,,,-4,4,,19,,,,,,,,,,22,,-15.780000000000001
1,E. Strange,CAN,,HLF,,482000,35.70,37,80,37,,,,,10,,4,20,4,-4,,4,-4,,,3,1,1,-2,,,,,,,30,,-5.700000000000003
1,D. Walker,WAR,,MID,,568000,42.07,33,47,33,,,,,,,,23,2,-6,,,,4,,7,1,,,,,2,,,,29,,-13.07
1,E. Clark,WAR,,HOK,MID,482000,35.70,33,46,33,,,,,,,,24,,-4,2,,-2,,,13,,,,,,,,,,33,,-2.700000000000003
1,K. Capewell,WAR,,EDG,,550000,40.74,27,67,27,8,,,,,4,,30,,-18,,,-2,4,,3,,,-2,,,,,,,13,,-27.740000000000002
1,A. Pompey,WAR,,CTR,,358000,26.52,27,80,27,,,,,5,,2,6,2,-6,,8,-2,,,12,,,,,,,,,,20,,-6.52
1,K. Weekes,CAN,,HLF,WFB,550000,40.74,25,80,25,,,,,,,,2,14,-2,,,,,,12,,1,-2,,,,,,,27,,-13.740000000000002
1,M. Niukore,WAR,,MID,EDG,455000,33.70,25,54,25,,,,,,,,23,4,-6,,,-2,,,6,,1,,,,,-1,,,26,,-7.700000000000003
1,A. Mariota,CAN,,MID,EDG,405000,30.00,23,25,23,,,,,,,,15,2,,,4,,,,2,,,,,,,,,,23,,-7
1,A. Leiataua,WAR,,CTR,WFB,500000,37.04,22,80,22,,,,,,,,12,4,-4,,,-2,,,12,,,,,,,,,,22,,-15.04
1,T. Tuaupiki,WAR,,WFB,,450000,33.33,22,80,22,,,,,,,,9,4,-2,,,,,,13,,,-2,,,,,,,24,,-9.329999999999998
1,L. Metcalf,WAR,,HLF,,441000,32.67,21,80,21,,,,,,,,18,,-14,,,-4,4,,6,11,,,,,,,,,17,,-15.670000000000002
1,C. Nicoll-Klokstad,WAR,,WFB,,594000,44.00,20,80,20,,,,,,,,7,2,-4,,8,-4,4,,8,,1,-2,,,,,,,18,,-26
1,O. Pattie,CAN,,HOK,,230000,17.04,19,19,19,,,,,,,,21,,-2,,,,,,,,,,,,,,,,19,,1.9600000000000009
1,L. Halasima,WAR,,EDG,,250000,18.52,17,26,17,,,,,,,,10,2,,2,,,,,5,,,-2,,,,,,,19,,0.4800000000000004
1,S. Sasagi,CAN,,EDG,CTR,384000,28.44,12,14,12,,,,,,,,9,,,,,,,,3,,,,,,,,,,12,,-16.44
1,D. Vaimauga,WAR,,EDG,,297000,22.00,12,13,12,,,,,,,,7,,-2,,4,,,,3,,,,,,,,,,12,,-10
1,I. Yeo,PEN,,MID,,865000,64.07,70,80,70,8,,,,,4,,43,6,-4,,,-2,4,,14,,,-2,,,,-1,,,57,,-7.069999999999993
1,A. Fonua-Blake,CRO,,MID,,780000,57.78,68,54,68,8,,,,,4,,27,12,-4,2,,,,,19,,,,,,,,,,56,,-1.7800000000000011
1,B. Brailey,CRO,,HOK,,582000,43.11,61,80,61,,,,,,,,61,,-4,,4,,,,3,,,-2,,,,-1,,,64,,20.89
1,J. Ramien,CRO,,CTR,,585000,43.33,60,80,60,8,,,,,4,,19,18,-2,,,-4,,,19,,,-2,,,,,,,50,,6.670000000000002
1,C. McInnes,CRO,,MID,,700000,51.85,57,53,57,,,,,,,,43,2,,,,-2,,,14,,,,,,,,,,57,,5.149999999999999
1,B. Nikora,CRO,,EDG,,692000,51.26,57,80,57,8,,,,,,2,32,6,-2,2,4,-2,,,6,,1,,,,,,,,47,,-4.259999999999998
1,N. Cleary,PEN,,HLF,,880000,65.19,56,80,56,,,8,,5,,2,19,2,-6,,,,,,7,21,,-2,,,,,,,53.5,,-11.689999999999998
1,L. Smith,PEN,,MID,,600000,44.44,54,60,54,,,,,,,,47,,-4,,4,-4,,,13,,,-2,,,,,,,56,,11.560000000000002
1,D. Laurie,PEN,,WFB,,402000,29.78,50,77,50,16,,,,,8,2,6,6,-2,,,-2,,,15,,1,,,,,,,,24,,-5.780000000000001
1,D. Edwards,PEN,,WFB,,730000,54.07,49,80,49,,,,,5,,2,9,8,-4,2,4,-2,,,22,,3,,,,,,,,44.5,,-9.57
1,L. Martin,PEN,,EDG,,525000,38.89,49,80,49,,,,,,4,,40,6,-6,,,-4,,,9,,,,,,,,,,45,,6.109999999999999
1,T. Wilton,CRO,,EDG,,598000,44.30,45,80,45,,,,,,,,34,2,-4,2,,,,,11,,,,,,,,,,45,,0.7000000000000028
1,B. Trindall,CRO,,HLF,,510000,37.78,45,80,45,,,6,,10,,2,15,,-4,,,-4,,,3,17,,,,,,,,,38,,0.21999999999999886
1,L. Garner,PEN,,EDG,,547000,40.52,44,80,44,,,,,5,4,2,14,6,-4,,,,,,18,,1,-2,,,,,,,35,,-5.520000000000003
1,M. Kenny,PEN,,HOK,,511000,37.85,43,80,43,,,,,,4,,48,,-12,,,,,,4,,,,,,,-1,,,40,,2.1499999999999986
1,N. Hynes,CRO,,HLF,,825000,61.11,41,80,41,,,,,5,,2,23,,-4,,4,-2,,,9,5,,,,,,-1,,,37.5,,-23.61
1,I. Papali'i,PEN,,EDG,,622000,46.07,41,49,41,,,,,,,,25,2,,,4,-2,4,,10,,,-2,,,,,,,39,,-7.07
1,K. Iro,CRO,,CTR,,619000,45.85,41,80,41,8,,,,,4,,17,6,-4,,,,,,10,,,,,,,,,,29,,-16.85
1,M. Leota,PEN,,MID,,407000,30.15,40,41,40,,,,,,,,27,,,,4,,,,9,,,,,,,,,,40,,9.850000000000001
1,W. Kennedy,CRO,,WFB,,385000,28.52,40,80,40,,5,,,,,2,8,4,-2,,,,4,,14,,5,,,,,,,,34,,5.48
1,P. Alamoti,PEN,,CTR,WFB,505000,37.41,39,80,39,8,,,,,4,,6,2,-2,,4,-4,,,19,,2,,,,,,,,27,,-10.409999999999997
1,S. Sorensen,PEN,,MID,EDG,504000,37.33,36,52,36,,,,,,,,34,,-2,,,,,,5,,1,-2,,,,,,,38,,0.6700000000000017
1,I. Tago,PEN,,CTR,,500000,37.04,29,80,29,8,,,,,,,18,2,-10,,,-2,,,15,,,-2,,,,,,,23,,-14.04
1,J. Cole,PEN,,HLF,,250000,18.52,29,80,29,,,,,5,,2,26,,-10,,,-2,4,,4,,,,,,,,,,20.5,,1.9800000000000004
1,T. Hazelton,CRO,,MID,,545000,40.37,28,31,28,,,,,,,,28,,-4,,,,,,7,,,-2,,,,-1,,,31,,-9.369999999999997
1,B. Hamlin-Uele,CRO,,MID,,303000,22.44,26,27,26,,,,,,,,18,6,,,,-2,,,4,,,,,,,,,,26,,3.5599999999999987
1,S. Stonestreet,CRO,,WFB,,450000,33.33,22,80,22,,,,,,4,,6,4,-6,,,,,,14,,,,,,,,,,18,,-15.329999999999998
1,S. Talakai,CRO,,EDG,CTR,403000,29.85,22,29,22,,,,,,,,18,2,-2,,,-2,,,6,,,,,,,,,,22,,-7.850000000000001
1,O. Kaufusi,CRO,,MID,,493000,36.52,21,33,21,,,,,,,,15,2,,,,-2,,,6,,,,,,,,,,21,,-15.520000000000003
1,M. Eisenhuth,PEN,,MID,,346000,25.63,20,24,20,,,,,,,,14,,,,,,,,6,,,,,,,,,,20,,-5.629999999999999
1,R. Mulitalo,CRO,,WFB,,555000,41.11,16,80,16,,,,,,4,,2,4,,,,-4,,,11,,2,-2,,,,-1,,,15,,-26.11
1,L. Patea,PEN,,MID,,250000,18.52,16,14,16,,,,,,,,16,,-2,,,,,,2,,,,,,,,,,16,,-2.5199999999999996
1,D. Atkinson,CRO,,HLF,WFB,449000,33.26,12,13,12,,,,,,,,10,,,,,,,,2,,,,,,,,,,12,,-21.259999999999998
