Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
$503K  |  -$65k ( -$58k ), -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,, -$58k ,74,41.2,,,,,,5,8,2,18,16,-4,2,4,-4,12,,17,,,-2,,,,,
R. Walsh
BRI v SOU | WFB
$693K  |  $29k ( $21k ), $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,, $21k ,63,50.1,,16,,4,,,4,2,4,10,,,4,-6,,,12,8,3,,,,2,,
P. Carrigan
BRI v SOU | MID
$774K  |  -$17k ( - ), - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,, - ,57,57.4,,,,,,,,,35,,-4,2,4,,,,22,,,-2,,,,,
S. Havili
SOU @ BRI | HOK, MID
$304K  |  -$88k ( -$86k ), -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,, -$86k ,56,25.6,,8,,,,5,4,2,26,4,-4,,,-2,8,,5,,,,,,,,
