Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
W. Warbrick
MEL @ BRI | WFB
$506K  |  $59k ( $61k ), $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,, $61k ,101,32.4,,24,,,,,20,,8,16,,2,4,-2,,,29,,,,,,,,
J. Hughes
MEL @ BRI | HLF
$835K  |  $120k ( $68k ), $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,, $68k ,97,60.4,,24,,,,10,12,8,11,12,-4,2,,-2,,,15,9,,,,,,,
H. Grant
MEL @ BRI | HOK
$763K  |  -$25k ( $22k ), $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,, $22k ,63,53.8,,8,,,,,4,4,34,4,-4,,4,-2,,,9,2,,,,,,,
E. Katoa
MEL @ BRI | EDG
$661K  |  $22k ( $23k ), $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,, $23k ,54,52.2,,8,,,,,4,,23,12,-2,,4,-2,,,16,,,-2,-5,,,-2,
